caldt	vwretd	time
20020516	0.006577715	594
20020517	0.007805151	595
20020520	-0.01318392	596
20020521	-0.01109117	597
20020522	0.005714558	598
20020523	0.01018794	599
20020524	-0.01232789	600
20020528	-0.008517564	601
20020529	-0.006336672	602
20020530	-0.002671762	603
20020531	0.002237176	604
20020603	-0.0249404	605
20020604	0.000107208	606
20020605	0.009320152	607
20020606	-0.01982217	608
20020607	-0.0015416	609
20020610	0.003388215	610
20020611	-0.0168324	611
20020612	0.00700347	612
20020613	-0.0104776	613
20020614	-0.00205853	614
20020617	0.02866719	615
20020618	0.000922234	616
20020619	-0.01643855	617
20020620	-0.0134991	618
20020621	-0.01719166	619
20020624	0.003660084	620
20020625	-0.01687965	621
20020626	-0.002112832	622
20020627	0.01758355	623
20020628	-0.001056224	624
20020701	-0.02158139	625
20020702	-0.02097386	626
20020703	0.006183226	627
20020705	0.03659534	628
20020708	-0.01193159	629
20020709	-0.02476719	630
20020710	-0.03339267	631
20020711	0.007640541	632
20020712	-0.006273077	633
20020715	-0.003374913	634
20020716	-0.01833981	635
20020717	0.005464798	636
20020718	-0.02724112	637
20020719	-0.03792663	638
20020722	-0.03284398	639
20020723	-0.0267597	640
20020724	0.0575416	641
20020725	-0.005820127	642
20020726	0.01708066	643
20020729	0.05430524	644
20020730	0.004326337	645
20020731	0.00992474	646
20020801	-0.02965795	647
20020802	-0.02283957	648
20020805	-0.03429632	649
20020806	0.02996603	650
20020807	0.02029247	651
20020808	0.03287747	652
20020809	0.00369742	653
20020812	-0.00518244	654
20020813	-0.02169539	655
20020814	0.04044022	656
20020815	0.0116565	657
20020816	-0.001581597	658
20020819	0.02368896	659
20020820	-0.01397993	660
20020821	0.01276601	661
20020822	0.01421951	662
20020823	-0.02281651	663
20020826	0.007714717	664
20020827	-0.01395406	665
20020828	-0.01799981	666
20020829	-4.06E-06	667
20020830	-0.001838321	668
20020903	-0.04172705	669
20020904	0.01787085	670
20020905	-0.01592398	671
20020906	0.01680703	672
20020909	0.0103072	673
20020910	0.007354225	674
20020911	5.44427E-05	675
20020912	-0.02460224	676
20020913	0.003242092	677
20020916	0.001553696	678
20020917	-0.01990061	679
20020918	-0.004469424	680
20020919	-0.03027176	681
20020920	0.00243996	682
20020923	-0.01382172	683
20020924	-0.01726576	684
20020925	0.02517706	685
20020926	0.01833599	686
20020927	-0.03239045	687
20020930	-0.0146584	688
20021001	0.04014241	689
20021002	-0.0234632	690
20021003	-0.0109387	691
20021004	-0.02235611	692
20021007	-0.01899839	693
20021008	0.01738516	694
20021009	-0.02732039	695
20021010	0.03513933	696
20021011	0.03918401	697
20021014	0.007451135	698
20021015	0.04730574	699
20021016	-0.02398135	700
20021017	0.02241655	701
20021018	0.005949725	702
20021021	0.0172996	703
20021022	-0.01055918	704
20021023	0.006709699	705
20021024	-0.015268	706
20021025	0.01716351	707
20021028	-0.008141149	708
20021029	-0.00889646	709
20021030	0.00998358	710
20021031	-0.005450921	711
20021101	0.01724122	712
20021104	0.008064084	713
20021105	0.007853411	714
20021106	0.009268917	715
20021107	-0.02265648	716
20021108	-0.008776216	717
20021111	-0.02084688	718
20021112	0.007819031	719
20021113	-0.000250844	720
20021114	0.02489502	721
20021115	0.006208938	722
20021118	-0.01038845	723
20021119	-0.003943069	724
20021120	0.01963294	725
20021121	0.02161176	726
20021122	-0.003657342	727
20021125	0.002630471	728
20021126	-0.02065127	729
20021127	0.0281538	730
20021129	-0.002800479	731
20021202	-0.001922498	732
20021203	-0.01458213	733
20021204	-0.003214218	734
20021205	-0.01210048	735
20021206	0.006232766	736
20021209	-0.02208811	737
20021210	0.01408963	738
20021211	0.000761381	739
20021212	-0.003808519	740
20021213	-0.01332043	741
20021216	0.02353382	742
20021217	-0.008147125	743
20021218	-0.01314747	744
20021219	-0.007518772	745
20021220	0.01306847	746
20021223	0.001749084	747
20021224	-0.005506813	748
20021226	-0.003128784	749
20021227	-0.01565148	750
20021230	0.004605846	751
20021231	0.00069964	752
20030102	0.03324632	753
20030103	-0.000366966	754
20030106	0.02247334	755
20030107	-0.006531664	756
20030108	-0.0138142	757
20030109	0.01938172	758
20030110	-0.000157084	759
20030113	-0.00129906	760
20030114	0.00572279	761
20030115	-0.01437392	762
20030116	-0.003916047	763
20030117	-0.01396983	764
20030121	-0.01564654	765
20030122	-0.01034989	766
20030123	0.009975437	767
20030124	-0.02916056	768
20030127	-0.01618038	769
20030128	0.01297441	770
20030129	0.006992025	771
20030130	-0.02255801	772
20030131	0.01311187	773
20030203	0.005461154	774
20030204	-0.01394286	775
20030205	-0.005392449	776
20030206	-0.006321201	777
20030207	-0.009932313	778
20030210	0.007597245	779
20030211	-0.008035821	780
20030212	-0.01222974	781
20030213	-0.001520284	782
20030214	0.02128175	783
20030218	0.01958068	784
20030219	-0.006785257	785
20030220	-0.009393343	786
20030221	0.01311194	787
20030224	-0.01820638	788
20030225	0.007138385	789
20030226	-0.01280073	790
20030227	0.01172792	791
20030228	0.004508858	792
20030303	-0.007533504	793
20030304	-0.01531835	794
20030305	0.009854747	795
20030306	-0.009020864	796
20030307	0.008278545	797
20030310	-0.02572802	798
20030311	-0.008295308	799
20030312	0.004762887	800
20030313	0.03445099	801
20030314	0.001537832	802
20030317	0.03556704	803
20030318	0.004349913	804
20030319	0.008761005	805
20030320	0.002011383	806
20030321	0.02301198	807
20030324	-0.03507247	808
20030325	0.01210995	809
20030326	-0.005363525	810
20030327	-0.001527938	811
20030328	-0.005694683	812
20030331	-0.01777969	813
20030401	0.01217888	814
20030402	0.02638428	815
20030403	-0.005007182	816
20030404	0.002644489	817
20030407	0.00128934	818
20030408	-0.001538218	819
20030409	-0.01395047	820
20030410	0.006378074	821
20030411	-0.003608477	822
20030414	0.019493	823
20030415	0.006464642	824
20030416	-0.01219036	825
20030417	0.01560745	826
20030421	-0.001818357	827
20030422	0.02168239	828
20030423	0.008705018	829
20030424	-0.008316235	830
20030425	-0.01386224	831
20030428	0.0180762	832
20030429	0.003363842	833
20030430	-0.000964138	834
20030501	-0.00045182	835
20030502	0.0152336	836
20030505	-0.003537614	837
20030506	0.008504017	838
20030507	-0.005105594	839
20030508	-0.009991007	840
20030509	0.01447858	841
20030512	0.01262908	842
20030513	-0.002763887	843
20030514	-0.00288283	844
20030515	0.007773072	845
20030516	-0.002361874	846
20030519	-0.02494285	847
20030520	-0.001140155	848
20030521	0.004003214	849
20030522	0.009242893	850
20030523	0.001543942	851
20030527	0.01969746	852
20030528	0.002053338	853
20030529	-0.003851202	854
20030530	0.01492471	855
20030602	0.003331603	856
20030603	0.004839502	857
20030604	0.01526541	858
20030605	0.004117348	859
20030606	-0.002471637	860
20030609	-0.01182505	861
20030610	0.009157323	862
20030611	0.01318325	863
20030612	0.000975078	864
20030613	-0.01000762	865
20030616	0.02241293	866
20030617	0.001095054	867
20030618	-0.001437047	868
20030619	-0.01510378	869
20030620	0.001001484	870
20030623	-0.0142337	871
20030624	0.001989886	872
20030625	-0.008160591	873
20030626	0.01094883	874
20030627	-0.009801779	875
20030630	-0.001558956	876
20030701	0.008154302	877
20030702	0.01161077	878
20030703	-0.007890412	879
20030707	0.01874845	880
20030708	0.003560013	881
20030709	-0.005333826	882
20030710	-0.01337467	883
20030711	0.009603997	884
20030714	0.006047419	885
20030715	-0.003804721	886
20030716	-0.006112349	887
20030717	-0.01231687	888
20030718	0.01172372	889
20030721	-0.01463657	890
20030722	0.009649799	891
20030723	0.000777957	892
20030724	-0.007270915	893
20030725	0.01746719	894
20030728	-0.002173507	895
20030729	-0.00728989	896
20030730	-0.001567101	897
20030731	0.003176583	898
20030801	-0.01025177	899
20030804	0.00272794	900
20030805	-0.01764405	901
20030806	0.001924483	902
20030807	0.007343469	903
20030808	0.003572235	904
20030811	0.003207981	905
20030812	0.01011078	906
20030813	-0.006114972	907
20030814	0.006488467	908
20030815	0.000417935	909
20030818	0.009330281	910
20030819	0.002734876	911
20030820	-0.002009016	912
20030821	0.003015113	913
20030822	-0.01019017	914
20030825	0.00065754	915
20030826	0.002992549	916
20030827	0.000333607	917
20030828	0.006119131	918
20030829	0.005269704	919
20030902	0.01394129	920
20030903	0.004405072	921
20030904	0.001619019	922
20030905	-0.006311154	923
20030908	0.01019454	924
20030909	-0.008490034	925
20030910	-0.01168633	926
20030911	0.005713259	927
20030912	0.002236398	928
20030915	-0.003639644	929
20030916	0.01411402	930
20030917	-0.003230672	931
20030918	0.01332833	932
20030919	-0.002951416	933
20030922	-0.01325583	934
20030923	0.00598304	935
20030924	-0.01888123	936
20030925	-0.005729026	937
20030926	-0.006389731	938
20030929	0.0095707	939
20030930	-0.01038248	940
20031001	0.02205632	941
20031002	0.002431965	942
20031003	0.009289613	943
20031006	0.004461073	944
20031007	0.00469387	945
20031008	-0.004692253	946
20031009	0.004844457	947
20031010	-0.000768521	948
20031013	0.006812115	949
20031014	0.003897598	950
20031015	-0.002594453	951
20031016	0.003123713	952
20031017	-0.01013246	953
20031020	0.005170898	954
20031021	0.001331577	955
20031022	-0.0148019	956
20031023	0.003228513	957
20031024	-0.004808795	958
20031027	0.002041803	959
20031028	0.01516047	960
20031029	0.001574259	961
20031030	-0.000916089	962
20031031	0.003389577	963
20031103	0.008193588	964
20031104	-0.005460604	965
20031105	-0.001015948	966
20031106	0.005769774	967
20031107	-0.004390209	968
20031110	-0.00575243	969
20031111	-0.000462756	970
20031112	0.01181158	971
20031113	-0.000040186	972
20031114	-0.007454351	973
20031117	-0.006661692	974
20031118	-0.008649877	975
20031119	0.008245141	976
20031120	-0.00844806	977
20031121	0.001319792	978
20031124	0.01598031	979
20031125	0.002143474	980
20031126	0.004297368	981
20031128	0.000255968	982
20031201	0.01085223	983
20031202	-0.003135775	984
20031203	-0.001251657	985
20031204	0.00458607	986
20031205	-0.007591925	987
20031208	0.006967125	988
20031209	-0.008238429	989
20031210	-0.000854702	990
20031211	0.01174431	991
20031212	0.002679201	992
20031215	-0.005513232	993
20031216	0.006370161	994
20031217	0.001534796	995
20031218	0.01203975	996
20031219	-0.000490473	997
20031222	0.003868425	998
20031223	0.002832255	999
20031224	-0.001785283	1000
20031226	0.001664136	1001
20031229	0.01269863	1002
20031230	6.92965E-05	1003
20031231	0.001979727	1004
20040102	-0.002717599	1005
20040105	0.01236354	1006
20040106	0.001527536	1007
20040107	0.00258487	1008
20040108	0.004678674	1009
20040109	-0.008474762	1010
20040112	0.004793199	1011
20040113	-0.005393317	1012
20040114	0.008277673	1013
20040115	0.001494763	1014
20040116	0.006693908	1015
20040120	-0.000525006	1016
20040121	0.007649438	1017
20040122	-0.003036229	1018
20040123	-0.002350529	1019
20040126	0.01217783	1020
20040127	-0.009620711	1021
20040128	-0.01327723	1022
20040129	0.005015932	1023
20040130	-0.002478132	1024
20040202	0.003639892	1025
20040203	0.000613907	1026
20040204	-0.008127366	1027
20040205	0.002054074	1028
20040206	0.01243344	1029
20040209	-0.002286366	1030
20040210	0.004840431	1031
20040211	0.01136785	1032
20040212	-0.004601153	1033
20040213	-0.005269091	1034
20040217	0.009677961	1035
20040218	-0.004407394	1036
20040219	-0.003956564	1037
20040220	-0.002500086	1038
20040223	-0.002869769	1039
20040224	-0.001513562	1040
20040225	0.00425958	1041
20040226	0.001236532	1042
20040227	-0.000023321	1043
